Date,Sales
2014-01-06,2573.82
2014-01-07,76.728
2014-01-10,51.94
2014-01-11,9.94
2014-01-13,879.939
2014-01-14,61.96
2014-01-16,127.104
2014-01-19,181.47
2014-01-20,1413.51
2014-01-21,25.248
2014-01-26,217.2
2014-01-27,333
2014-01-31,290.666
2014-02-08,14.56
2014-02-11,1650.05
2014-02-12,129.568
2014-02-18,25.16
2014-02-20,20.32
2014-03-01,1893.995
2014-03-03,928.802
2014-03-07,966.984
2014-03-11,8.32
2014-03-14,1139.92
2014-03-15,45.696
2014-03-17,3265.23
2014-03-18,1462.45
2014-03-19,25.008
2014-03-21,251.328
2014-03-22,314.352
2014-03-24,40.48
2014-03-25,366.786
2014-03-28,1515.308
2014-03-29,890.841
2014-03-30,332.968
2014-03-31,1125.488
2014-04-02,177.68
2014-04-04,5.47
2014-04-06,933.384
2014-04-07,8.96
2014-04-08,1487.622
2014-04-12,308.499
2014-04-15,187.76
2014-04-18,317.058
2014-04-19,76.14
2014-04-20,1205.61
2014-04-23,585.08
2014-04-25,1790.29
2014-04-26,230.28
2014-04-29,631.004
2014-05-04,39.64
2014-05-05,127.869
2014-05-07,1066.57
2014-05-10,606.749
2014-05-11,1279.072
2014-05-12,734.846
2014-05-13,279.456
2014-05-14,310.88
2014-05-16,232.88
2014-05-18,149.232
2014-05-20,150.192
2014-05-21,107.772
2014-05-25,29.32
2014-05-26,875.734
2014-05-27,567.12
2014-05-30,355.455
2014-06-01,2024.06
2014-06-02,73.32
2014-06-03,577.424
2014-06-04,424.488
2014-06-06,991.764
2014-06-07,268.935
2014-06-08,755.904
2014-06-09,3233.744
2014-06-14,212.94
2014-06-15,897.862
2014-06-16,647.84
2014-06-17,6.24
2014-06-20,193.0656
2014-06-21,107.994
2014-06-22,1023.988
2014-06-24,4.272
2014-06-25,447.84
2014-06-27,85.98
2014-06-28,1228.465
2014-07-05,232.736
2014-07-06,478.48
2014-07-07,241.194
2014-07-08,566.37
2014-07-09,119.833
2014-07-11,979.05
2014-07-12,1333.846
2014-07-13,351.216
2014-07-14,31.984
2014-07-18,259.136
2014-07-19,70.56
2014-07-20,1041.132
2014-07-21,1732.346
2014-07-22,888.072
2014-07-25,77.92
2014-07-26,919.448
2014-07-28,129.888
2014-07-30,1367.84
2014-08-01,44.128
2014-08-03,218.75
2014-08-05,1962.724
2014-08-08,658.472
2014-08-11,12.35
2014-08-12,85.44
2014-08-15,195.136
2014-08-16,853.092
2014-08-19,928.06
2014-08-20,921.612
2014-08-23,4.224
2014-08-24,13.28
2014-08-25,6.28
2014-08-26,10.68
2014-08-27,1232.06
2014-08-29,174.0585
2014-09-02,70.71
2014-09-05,31.984
2014-09-06,41.88
2014-09-07,1714.593
2014-09-08,3855.444
2014-09-09,864.024
2014-09-10,1741.94
2014-09-11,127.95
2014-09-12,3825.852
2014-09-13,354.306
2014-09-14,629.78
2014-09-15,118.496
2014-09-17,35.34
2014-09-19,961.018
2014-09-20,3071.64
2014-09-21,8.544
2014-09-22,676.968
2014-09-23,435.999
2014-09-25,300.5328
2014-09-26,752.304
2014-09-27,691.46
2014-09-28,337.088
2014-09-29,3153.388
2014-09-30,15.24
2014-10-03,555.839
2014-10-04,589.41
2014-10-07,129.92
2014-10-10,169.224
2014-10-11,505.958
2014-10-13,1544.53
2014-10-14,1628.82
2014-10-15,198.756
2014-10-17,5.312
2014-10-18,1151.22
2014-10-20,328.59
2014-10-21,1000.91
2014-10-22,223.808
2014-10-26,63.92
2014-10-28,616.998
2014-10-31,3591.032
2014-11-01,100.384
2014-11-02,89.34
2014-11-03,1355.388
2014-11-04,744.95
2014-11-05,443.508
2014-11-07,683.144
2014-11-09,279.186
2014-11-10,657.02
2014-11-11,2071.424
2014-11-12,722.1852
2014-11-14,69.264
2014-11-15,10.11
2014-11-16,343.2705
2014-11-17,5270.08
2014-11-18,2191.732
2014-11-19,1025.88
2014-11-23,1147.1
2014-11-24,1029.808
2014-11-25,2302.967
2014-11-26,19.3
2014-11-27,199.9
2014-11-28,808.932
2014-12-01,4513.606
2014-12-02,1282.8
2014-12-06,525.192
2014-12-08,723.24
2014-12-10,338.352
2014-12-12,4695.6005
2014-12-13,182.388
2014-12-14,322.834
2014-12-15,1223.786
2014-12-16,2798.432
2014-12-19,1819.86
2014-12-20,4039.814
2014-12-21,1897.92
2014-12-23,118.1
2014-12-24,346.622
2014-12-26,1353.158
2014-12-27,1212.798
2014-12-29,143.172
2014-12-30,523.764
2014-12-31,2584.528
2015-01-02,452.45
2015-01-03,1352.3976
2015-01-04,192.22
2015-01-05,61.584
2015-01-10,1018.104
2015-01-13,542.45
2015-01-17,254.744
2015-01-19,301.742
2015-01-27,2985.906
2015-01-28,4297.644
2015-01-30,227.36
2015-01-31,53.34
2015-02-03,256.202
2015-02-06,1552.74
2015-02-09,244.704
2015-02-18,35.544
2015-02-27,493.92
2015-02-28,551.264
2015-03-01,1412.7504
2015-03-02,787.53
2015-03-05,521.259
2015-03-06,435.26
2015-03-08,1746.95
2015-03-12,37.288
2015-03-13,1384.856
2015-03-16,215.09
2015-03-19,383.4656
2015-03-22,91.96
2015-03-23,107.772
2015-03-24,405.958
2015-03-26,3393.68
2015-03-29,1186.84
2015-03-30,366.744
2015-03-31,22.38
2015-04-04,108.4
2015-04-05,1799.394
2015-04-09,369.912
2015-04-11,121.888
2015-04-13,1811.432
2015-04-16,1847.884
2015-04-18,152.836
2015-04-20,595.38
2015-04-21,401.84
2015-04-25,128.058
2015-04-26,1592.8495
2015-04-27,1267.53
2015-04-30,278.295
2015-05-01,63.552
2015-05-03,1509.996
2015-05-04,49.088
2015-05-07,244.006
2015-05-08,339.516
2015-05-11,191.968
2015-05-12,21.968
2015-05-14,1452.7875
2015-05-20,163.136
2015-05-23,75.33
2015-05-24,602.651
2015-05-25,14.73
2015-05-26,230.856
2015-05-29,358.626
2015-05-31,4056.74
2015-06-04,35.28
2015-06-05,1522.638
2015-06-08,173.208
2015-06-09,355.36
2015-06-11,1201.752
2015-06-12,43.296
2015-06-14,51.072
2015-06-15,404.96
2015-06-16,197.372
2015-06-18,779.336
2015-06-19,12.56
2015-06-20,257.64
2015-06-22,796.425
2015-06-23,27.42
2015-06-25,280.234
2015-06-26,332.94
2015-06-28,1104.7
2015-06-29,137.986
2015-07-02,950.378
2015-07-03,522.332
2015-07-05,9.856
2015-07-06,642.092
2015-07-09,181.96
2015-07-11,856.468
2015-07-12,391.367
2015-07-13,1931.04
2015-07-14,569.684
2015-07-16,2199.836
2015-07-17,427.386
2015-07-18,7.38
2015-07-20,1298.374
2015-07-23,128.82
2015-07-24,20.94
2015-07-25,1625.048
2015-07-26,659.517
2015-07-30,161.16
2015-07-31,1090.782
2015-08-01,1004.976
2015-08-02,388.48
2015-08-05,14.76
2015-08-06,369.1992
2015-08-07,212.94
2015-08-08,144.784
2015-08-09,1755.876
2015-08-11,46.152
2015-08-13,31.56
2015-08-15,104.23
2015-08-16,555.822
2015-08-21,1754.848
2015-08-24,1218.059
2015-08-25,68.768
2015-08-28,415.307
2015-08-31,1552.831
2015-09-01,185.1
2015-09-03,367.72
2015-09-05,778.651
2015-09-06,549.564
2015-09-07,556.106
2015-09-08,21.36
2015-09-10,648.526
2015-09-11,244.24
2015-09-13,2917.822
2015-09-14,1082.886
2015-09-15,1976.884
2015-09-17,10006.174
2015-09-18,24.4
2015-09-19,122.8
2015-09-21,3119.064
2015-09-22,252.58
2015-09-24,1940.51
2015-09-25,1454.348
2015-09-27,24.288
2015-10-02,11.032
2015-10-03,156.156
2015-10-04,457.884
2015-10-05,357.462
2015-10-08,218.68
